"id";"name";"status";"address";"city";"state";"zip";"phone";"contact";"district_office";"do_phone";"license_no";"Email Address";"Website";"Details";"Services";"Adoption Process"
;"Adoption Services of the Caribbean, Inc";"Licensed";"2046 Colinas Alturas de Mayaguez";"Mayaguez";"PR";"00682";(787) 831-4686;;;;;;;;;
;"Hogar Cuna San Cristobal";"Licensed";"PMB 428 HC-01 Box 29030";"Caguas";"PR";"00725";(787) 747-9488;;;;;"hcsancristobal@gmail.com";"http://hogarcunasancristobal.com/";"Alberga y atiende a niños abandonados y maltratados durante el proceso de transición, mientras se identifican familias interesadas en adoptarlos de modo que puedan disfrutar de un hogar estable y permanente. El Hogar Cuna San Cristóbal trabaja para mejorar la calidad de vida de la niñez puertorriqueña que ha sido víctima de alguna de las modalidades del maltrato. Sostenemos que la adopción es una alternativa real para los niños y niñas, y para mujeres que enfrentan un embarazo no planificado. El personal del Hogar Cuna San Cristóbal ofrece charlas de temas variados como Sexualidad Responsable, Prevención de Maltrato, ¿Cómo prepararme para la adolescencia?, entre otros. Se visitan oficinas, escuelas o iglesias y hay fechas disponibles para coordinar durante todo el año.";"Adoption Services";
;"Adoption Options";"Licensed";"959 North Main Street";"Providence";"RI";" 02904";(401) 331-5437;"Peg Boyle";;;;"peg@jfsri.org";"http://adoptionoptions.org/";"Adoption Options is the nonprofit, nonsectarian adoption program of Jewish Family Service with offices in Providence, Rhode Island and Attleboro, Massachusetts. While adoption services have been offered by Jewish Family Service for many decades, we have significantly expanded our program over the last several years. The professional staff at Adoption Options provides a full range of affordable services to birth parents, adoptive parents, and children. Our work with all members of the adoption triad is focused on helping individuals to understand their options and make the most informed choices for their future. We provide education and resources for families to understand the differences between the many types of adoptions, from domestic to international. Our services include supportive counseling throughout the adoption process as well as providing home studies. We place infants as well as coordinate services with other placement agencies, facilitators and adoption attorneys.";"Services For Adoptive Parents: Home Study, International Adoption, Post Adoption Services; Services For Birth Parents; Services For Professionals";
;"Alliance for Children";"Licensed";"500 Prospect Street";"Pawtucket";"RI";" 02860";(401) 725-9555;;;;;"info@allforchildren.org";"http://www.allforchildren.org/";"Alliance For Children is a full-service, private, Hague-Accredited, nonprofit adoption agency that has been in operation since 1974. We are licensed to conduct home studies for people living in Massachusetts, Rhode Island, New York, New Jersey, Pennsylvania, Florida, Arkansas and Texas, place children born domestically/ internationally with adoptive families throughout the US, and provide counseling services to birth parents nationwide. We work closely with other agencies, creating a large cooperative and collaborative network. We believe that children thrive and grow best when they are raised with the love and support of a forever family; we also believe that those who wish to be parents should have the opportunity for a little person to fill their lives with love and laughter. We are inspired by the children, birth parents, and adoptive families who give so much meaning to our work, and by our role in making dreams come true. In addition to working with all members of the adoption triad, we are committed to offering financial assistance to childcare institutions in order to improve the living standards of children—those awaiting placement as well as those for whom adoption may not be a possibility. We are strong advocates for older children and children with special needs, and will go the extra mile to assist them, either through adoptive placement or by providing other kinds of support and resources. What sets us apart from other agencies? All of us share a true and deep passion for the work that we do each and every day. Virtually every staff member has been touched by adoption, many on a very personal level. We know that an adoption process may be challenging, amazing, wonderful, overwhelming-perhaps all at the same time. We face the challenges of our work with fierce determination, and celebrate our families' successes with great joy. We pride ourselves on our ability to meet the needs of the adoption community with compassion, integrity, professionalism, and personalized attention and care. We are Alliance For Children.";"Unplanned Pregnancy Help; Domestic Adoption; International Adoption";
;"Bethany Christian Services";"Licensed";"706 Warwick Ave.";"Warwick";"RI";" 02888";(401) 467-1395;;;;;;"https://www.bethany.org/";"Since 1944, Bethany Christian Services has been reaching out to children who are alone or vulnerable. As a worldwide and community leader in adoption and family services, we believe children thrive in safe, loving, and forever families. This year we celebrate 30 years of creating and strengthening families for children in Massachusetts and Rhode Island and are so thankful for God’s grace, extravagant love, and hope for all we serve. ";"Pregnancy Support; Infant Adoption; International Adoption; Safe Families for Children";
;"Children's Friend - Adoption";"Licensed";"153 Summer Street";"Providence";"RI";"02903";(401) 276-4300;"Lisa Granda";;;;"lgranda@cfsri.org";"http://www.cfsri.org/";"As the oldest adoption agency in Rhode Island, Children’s Friend has been placing children in loving homes through our foster care program for more than 174 years. The goal of our program is to find safe and stable homes for children in need. The adoption program at Children’s Friend finds permanent, loving homes for children. Many of the children we place in adoptive homes are born to families that are struggling with a variety of social and economic problems. Though they are unable to care for their children, these parents want their children to have safe, stable, loving families. All of the children available for adoption need families who will give them the love and security they need to grow up to be healthy and strong.";"Adoption Services";
;"Communities for People, Inc. - Foster Care and Adoption";"Licensed";"623 Atwells Avenue, 2nd Floor";"Providence";"RI";" 02909";(401) 273-7103;"Erica Jurgenson";;;;"recruitRI@communities-for-people.org";"http://www.communities-for-people.org/";"The Families for Children Program is an adoption and foster care service that places high-risk children who have experienced multiple disruptions in their lives in safe, stable, and loving homes. The program's staff provides a full range of case management services including individual and family casework, group work with children and families, and community organization. The Families for Children staff conducts a comprehensive assessment of the strengths and requirements of each potential home and child. Staff members work with families and children to prepare them for their new lives together. The program provides financial, clinical, and on-call crisis support. Families for Children also offers quarterly pre-service training for prospective foster and adoptive parents. A eight-ten week Model Approach Partnership for Parenting (MAPP) course is held at CFP's Providence office and is free of charge. There is no obligation to proceed with the adoption or foster care process beyond the course.";"Foster Care and Adoption";
;"Family Service of RI";"Licensed";"134 Thurbers Avenue";"Providence";"RI";"02905";(401) 331-1350;"Greg Wright";;;;"wrightgr@familyserviceri.org";"http://www.familyserviceri.org/";"All across Rhode Island there are children who need foster homes. Whether due to physical abuse, mental health problems or a family emergency, at times foster care is necessary. Foster parents receive the support of a team of clinicians and case managers, available 24 hours a day, 7 days a week, 365 days a year. They respond to any phone call within 10 minutes. Foster parents receive tax-free dollars to support the placement, plus free medical coverage for the child and a clothing allowance. Many of the children ready for placement are school age. Occasionally there are younger children. Becoming a foster parent is a good first step toward adoption; however, one can become a foster parent even if adoption is not part of the plan.";"Foster Care and Adoption";
;"Adoption Rhode Island";;"2 Bradford St.";"Providence";"RI";" 02903";(401) 865-6000;"Beth Capron";;;;"bcapron@adoptionri.org";"http://adoptionri.org/";"Adoption Rhode Island is a private nonprofit organization dedicated to finding families for children in state care and supporting those children and families throughout the adoption process. We also provide child, youth and family support services, education, training, advocacy, and referrals. We are proud to have found adoptive families for more than 1200 children, over the years, but there are hundreds of others in Rhode Island at any given time who need forever families. In terms of approach, Adoption Rhode Island embraces our Adopt Hope Model as the foundation upon which all else is built, and the core of all education, support, recruitment and advocacy that Adoption Rhode Island provides. The Adopt Hope Model is based on the belief that instilling and maintaining a sense of hope among the children and families we serve strongly influences positive outcomes, and is paramount to long-term success. As a nonprofit agency, we rely heavily on your donations and volunteer contributions to continue serving waiting children. Everyone has something to offer a child in state care. Please help us make a difference.";"Services For Children: Advocates for Permanency, Recruitment/ Matching, Pre/ Post Adoption Support, Clinical Support; Services For Parents & Family: Parents & Family Support, Information Meetings, Resources and Referrals; Services For Professionals; Services For Community: Educational Opportunities, Advocacy";
;"Adoption By Choice";"Licensed";"311 Hooper Street";"Tiverton";"RI";"02878";(401) 624-9270;"Phyllis Habib";;;;"phabib@cssdioc.org";"http://adoption-by-choice.com/";"Adoption By Choice, a program of Catholic Social Services of Fall River, Inc. has been providing compassionate, comprehensive adoption services for over 80 years. A non-profit, licensed adoption agency in MA and RI, our program is dedicated to meeting the needs of expectant parents, birth parents, adoptive parents, and adopted persons. ABC provides a wide range of domestic adoption options including fully and semi-open adoptions, traditional adoptions, and expectant or adoptive parent identified/initiated adoptions. ABC provides home study and post-placement services to individuals adopting internationally. Through contractual agreements we are able to partner with highly respected international child placing agencies If you are experiencing an unplanned pregnancy and want to know more about adoption, our staff will share information and provide counseling in a non-judgmental and understanding manner. We are here to support your choice and provide the information you need to make a decision that meets your needs and those of your child. Should you decide that adoption is the best option, you may select the adoptive parents and meet with them if you so desire. You may decide to see your child after placement, and/or to receive pictures and updates over the years. You can personalize your adoption plan, receive free counseling and legal consultations, no-cost post-placement services, and assistance with medical care. If you decide that parenting is the best option for you and your child, you will have our understanding and support. We want you to make a plan that is best for you and your child.";"Domestic Adoption Services; International Home Study Services; Pregnancy Counseling; Foster Care";
