id;name;status;address;city;state;zip;phone;contact;district_office;do_phone;license_no;Email Address;Website;Details;Services;Adoption Process
;International Family Services;Licensed;700 S. Friendswood Drive, Suite F;Friendswood;TX;77546;(281) 992-4677;;;;;info@ifservices.org;http://ifservices.org/;Since our beginning in the early 1990s, International Family Services (IFS) has helped nearly 4500 orphaned children find forever homes. IFS is a licensed child-placing agency in Texas, Oregon, Arizona, Arkansas, and Pennsylvania, registered in Illinois.;Adoption;Step 1) Sign up to receive our free eBook and connect with our International Family Services Adoption Team through email. Step 2) Confirm your subscription, download and read the eBook, and Join Us on Facebook. Step 3) Share more with us on our Adoption Inquiry Form. Step 4) Register for Exploring the Adoption Adventure Interactive. Step 5) From this point we will connect directly with you to walk through the remainder of the Adoption Process which includes our Training sessions.
;Inheritance Adoptions;Licensed;1007 11th Street;Wichita Falls;TX;76301;(940) 322-3678;Leslie Howard;;;;;http://inheritanceadoptions.org/;Inheritance Adoptions is a Christian-based child-placing agency and a 501(c)(3) non-profit organization. We operate a ministry to both pregnant women in crisis and loving couples who desire to grow their families. Our services to birth parents are free and include counseling, information on having a healthy pregnancy, and transportation to doctor's appointments. We also provide shelter, food and clothing when necessary.;"Services to birth parents: Provide free and confidential counseling and emotional support pre- and post- delivery, Share the gospel and the love of Christ with our clients, Assist with emergency needs such as electricity, housing and water; we also help clients obtain W.I.C., Food stamps and Medicaid, Assist birth parents in working toward financial independence through help preparing budgets, applying for school or obtaining a GED, and searching for jobs, Promote proper prenatal care by providing transportation to medical appointments, education on healthy eating and exercise, and education on the effects of drugs, smoking and alcohol on the baby, For clients who choose adoption, we prepare adoption plans and set up meetings with prospective adoptive couples, Serve as liaison between birth parents and adoptive couples by mailing letters and pictures and assist in setting up visit between the couple, baby, and birth parents, Maintain a donation closet with maternity clothing and children's clothing (for prior children or for those who choose to parent); Services to adoptive couples: Conduct home studies for domestic and international adoptions, Show profiles to birth mothers and arrange match meetings, Assist with legal issues, Gather family medical history of biological parents, Search for biological fathers, Provide training on adoption and parenting issues";
;Jonathan’s Place Foster Care & Adoption;Licensed;6065 Duck Creek Dr.;Garland;TX;75043;(972) 303-5303;Jennifer Maddox;;;;jmaddox@kidnet.org;http://jpkids.org/;"Jonathan’s Place Foster Care & Adoption program is welcoming to all families and provides specialized training and guidance to help you provide a nurturing and stable home for children who have been abused or neglected. We are always in need of parents and families who can provide: Homes for sibling groups of two or more; Homes for children of all racial, ethnic, and religious backgrounds; Homes for children of all sexual orientations; Homes for children with behavioral, emotional, or physical special needs; Homes for teenagers.";Foster Care & Adoption;
;Legacy Adoption Services;Licensed;7952 Davis Blvd., Ste 100;North Richland Hills;TX;76180;(817) 899-5000;Tina Dean;;;;;http://legacyas.com/;Legacy Adoptions Services commits to create loving, traditional families, treating each person with compassion, professionalism and respect. As a faith-based agency, we believe that each family is designed by God.;Adoption;
;Lifetree Adoption Agency;Licensed;5220 Spring Valley Road, Suite 550;Dallas;TX;75254;(972) 491-3333;;;;;information@lifetreeadoption.com;http://www.lifetreeadoption.com/;We are a state-licensed child-placing agency, regulated by the Texas Department of Family and Protective Services (TDFPS). We know that the adoption journey can be a confusing one, but it can be a wonderful experience! Let us show you how wonderful it can be and hopefully less confusing. We are here to assist you in completing the steps of your adoption process. Assistance with your adoption process is just one phone call or email away. We look forward to guiding you in your adoption journey. Let us help you find your light at the end of the tunnel!;Adoption Services;"THE ADOPTION STEPS FOR OUR ADOPTIVE FAMILIES: 1. Complete Lifetree’s Application and return it to Lifetree along with the Application Fee. 2. Complete the New Family Record Report given by staff. 3. Meet with a Lifetree Caseworker to discuss your expectations of the adoption process and the type of child you envision within your family. 4. Undergo a Pre-Adoptive Screening Evaluation where we request you to submit the following documentation: Autobiography of each Adoptive Parent to learn more about how you were raised; Current Physical of All Persons Living in Your Home to verify your physical, mental, and emotional status. Download Physical Exam Form; First Page of your Most Recent Tax Return and Most Recent Employer Paycheck Stub to verify your family's income; Health Insurance Information to confirm that the adopted child will be covered by medical insurance; 5 References: Three from friends who have known you for at least 5 years and Two from family members; Photo books (3) which includes a Dear Birthmother Letter, profile of Adoptive Parent, and current pictures of you all, your home, family members, yards, holidays pictures, vacations, personal hobbies, nursery if it is done, etc. Also send a web profile (pdf) to Robin@LifetreeAdoption.com, if you desire to be online with our waiting families; Birth Certificate or Current Passport; Marriage Certificate (if applicable); Divorce/Death Certificate (if applicable); Undergo a Pre-Adoptive Home Screening (typically referred to as a Home Study). 5. Be selected by the Birth Parent(s) and obtain a copy of the Birth Parents’ Health, Social, Educational, and Genetic Report and a picture of the Birth Parent(s). 6. Meet the Birth Parent(s), if so desire. If you agree to the match, submit payment of the Adoption Fee to Lifetree and attend our Basic Infant Care and Safety Training Program. 7. Lifetree Caseworker will contact you when the Birth Family is in labor. 8 Lifetree obtains Birth Parents Relinquishment of Parental Rights. 9. Undergo a six to eight month evaluation by Lifetree until Finalization is obtained which includes the Post-Placement Adoptive Screening. 10. Six to eight months after the child has lived in your home, arrange for Finalization of your adoption with an attorney of your choice."
;Little Flower Adoptions;Licensed;3631 Fairmount Street, Suite 201;Dallas;TX;75219;(214) 206-3570;;;;;info@littlefloweradoptions.com;https://www.adoptlegal.com/;Little Flower Adoptions is a fully licensed adoption agency specializing in providing free services to birth parents across the country. The decision to place a child for adoption is a difficult and courageous one. We are committed to providing birth parents emotional support and guidance, as well as necessary financial assistance. We are advocates for birth parents and believe that birth parents should be in control of their adoption plan. If you are pregnant and considering an adoption plan, we would be honored to talk with you. We will answer your questions openly and honestly to help you make the best decision for your situation.  ;"Services for Birth Mothers; Services for Adoptive Parents: Adoption Home Study, Adoption Consultation and Preparation, Identified Adoption, Agency Placement";
;Little Miracles International Inc.;Licensed;600 South Tyler Street, Suite 1302;Amarillo;TX;79101;(806) 351-1100;Lori Scott;;;;adopt@littlemiracles.org;http://www.littlemiracles.org/;Little Miracles International Adoption is a Texas State Licensed, Hague Accredited, non-profit 501(c)(3), International Adoption Agency located in the Texas Panhandle.;International Adoptions;
;Lonestar Social Services;Licensed;15300B Farm Market Road 1825;Pflugerville;TX;78660;(512) 202-3686;James W. Mercer;;;;info@lonestarsocialservices.com;http://www.lonestarsocialservices.com/;Lonestar Social Services, a social service agency provides many valuable services to the community. We are a dedicated team of professionals dedicated to serving Texas' most precious resource, our children. Lonestar Social Services offers foster care services, adoptions, and supervised visitations. Foster care is an integral part of caring for children who have been abused and or neglected. Having loving homes to care for children who's parents are unable or unwilling to do so is our top priority. Our goal is to have every child in Texas in a safe, loving environment. Lonestar Social Services, provides a safe, neutral, relaxed atmosphere for non-custodial parents to see their children and for children to rebuild relationships with their parents. Lonestar Social Services, has a large network of dedicated professionals to provide Supervised Visitation Services to clients throughout the State of Texas. Each client is promised discreet, professional, supervised visitation services. Supervised Visitations Services helps parents and their children to spend time together in a safe, non-threatening and neutral environment. The goal of each visit is to help strengthen the family bond in an effort to help promote the overall well being of each child. The job of our Visitation Observers are to provide supervised visits to help build and maintain healthy relationships with the most important people in their lives...the parents. All Visitation Observers have been trained and have the proper educational background to monitor the visitations between the child and their family to ensure safe, professional services. Each region has a Quality Control Manager to ensure that each ​case receives it's deserved attention.  ;"Therapeutic Foster Care; Adoptions; Supervised Visitations ";
;Lonestar Solutions;Licensed;1112 E. Copeland Rd., Suite 310;Arlington;TX;76011;(817) 265-2344;;;;;;http://www.lonestarsolutions.org/;LoneStar Solutions provides services in the Dallas/Ft. Worth region of Texas. LoneStar Solutions offers a variety of behavioral services to the community out of our Arlington office.;"Licensed Foster Care Services; Adoption and Foster-to-Adopt Placement; Outpatient Counseling Services; ABA Autism/Behavior Consultation";
;Loving Alternative;Licensed;430 S. Vine;Tyler;TX;75702;(903) 533-1288;;;;;;http://livingalternatives.org/about/loving-alternative/;Loving Alternative adoption ministry provides individual counseling and compassionate friendship for any mother that chooses adoption or is considering it. It is located in Tyler, separate from the Maternity Home, to ensure that residents don’t feel pressured to place their child for adoption. Loving Alternative’s ministry to the birth parent does not end at placement. It continues through the time when she grieves the separation of her child. The birth mother receives pictures, letters and updates from the adoptive family (exchanged through the agency) which help provide her with the assurance of knowing that her baby is healthy, happy and much loved. Adoption is a loving and self-sacrificial choice that a birthmother, birthfather and/or birth families make to ensure that their child has a stable and secure two-parent family to grow up in.;Adoption Services;
