"id";"name";"status";"address";"city";"state";"zip";"phone";"contact";"district_office";"do_phone";"license_no";"Email Address";"Website";"Details";"Services";"Adoption Process"
;"A Angel Adoptions";"Licensed";"911 Creekside Court, Suite A";"Helena";"AL";35080;(205) 206-4984;;;;;"angeladoptions@msn.com";"http://www.aangeladoptionsalabama.com/";"""After working in the adoption field since 1985 as a clinical social worker, I finally realized my dream of opening my very own private adoption agency in 2001! My goal has always been to be a small, licensed Alabama agency that provides personal guidance and counseling through every step of the way! My focus has never been to grow and branch into other states. Working with Alabama women who choose an adoption plan will always be the number one focus of A Angel Adoptions. ""I have always been very proud of the quality adoptive families adopting through our agency. It is very important to me that adoptive families receive counseling services during and after the adoption, as well as education, training and handholding throughout the process. Although a few birth mothers request a closed adoption, the majority of birth mothers are requesting varying levels of openness in their adoption plan.""";"Adoption Services";
;"AGAPE of Central Alabama, Inc. - Montgtomery Office (Main Office)";"Licensed";"3800 Vaughn Road";"Montgomery";"AL";36106;(334) 272-9466;"Jimmy Dobbs";;;;"info@agapeforchildren.org";"http://www.agapeforchildren.org/";"In 1977, a group of Christians were stirred to begin something that would enable Christ’s followers to help children. They saw the need in society as well as the desire to help in the hearts of their brothers and sisters. Agape was founded in 1977 in Montgomery, and began operations in 1978 as a “licensed child-placing agency”, licensed by the state of Alabama to provide foster care and adoption services. Agape began serving in the Montgomery area, then later expanded to the Birmingham, Wiregrass and Mobile areas over the next 15 years";"Adoption: Domestic Adoption, International Adoption (Home Study and Post Adoption Services Only); Foster Care; Crisis Pregnancy";"Domestic Adoption: The process of domestic adoption through Agape would generally be as follows: Review eligibility requirements with an Agape representative and submit Application for Services. Begin gathering paperwork for the home study. This process includes: obtaining medical exams, criminal background clearances, parent-preparation training, and gathering financial and identification verifications. A minimum of 2 home visits with an Agape social worker to complete the home study process. Prepare a “Dear Birth Parent” profile with Agape’s assistance. Wait period of approximately 2-3 years. Post placement visits, legal services for finalization coordinated by Agape. Post placement counseling and support; International Adoption: At this time, Agape is only offering Home Study and Post Adoption services to families who adopt internationally. Agape is Hague-accredited through the Council on Accreditation (COA) to provide services to prospective adoptive parent(s) who are pursuing an international adoption. Megan Malinoski, Agape’s Director of Permanency Planning, has years of experience working in the field of international adoption. She has traveled and visited orphanages in Africa and South America. Megan is able to assist prospective adoptive parents in exploring the many options in international adoption such as: choosing a country of origin and/or locating and identifying a placing agency that has a program in the country in which the prospective adoptive parent(s) desire to adopt. Megan also stays up-to-date on the current international adoption news through our partnerships with organizations such as the Joint Council for International Children’s Services and the Christian Alliance for Orphans. We are able to help prospective adoptive families identify a program that is an appropriate fit for their family, and are here to guide, educate and support families on the journey to provide a forever family to orphans worldwide. The international adoption home study process through Agape would generally be as follows: Review eligibility requirements with an Agape representative and submit Application for Services. Begin gathering paperwork for the home study. This process includes: obtaining medical exams, criminal background clearances, parent-preparation training, and gathering financial and identification verifications. A minimum of two home visits with an Agape social worker to complete the home study process. After the home study report is approved and notarized, Agape is available to assist with filing the appropriate Immigration paperwork After applicant(s) arrive home with the adoptive child(ren), Agape will provide post adoption services including: written reports for the child’s country of origin, counseling and support."
;"AGAPE of Central Alabama, Inc. - Mobile/Baldwin County Office";"Licensed";"P.O. Box 2602";"Daphne";"AL";36526;(251) 625-1133;;;;;"info@agapeforchildren.org";"http://www.agapeforchildren.org/";"In 1977, a group of Christians were stirred to begin something that would enable Christ’s followers to help children. They saw the need in society as well as the desire to help in the hearts of their brothers and sisters. Agape was founded in 1977 in Montgomery, and began operations in 1978 as a “licensed child-placing agency”, licensed by the state of Alabama to provide foster care and adoption services. Agape began serving in the Montgomery area, then later expanded to the Birmingham, Wiregrass and Mobile areas over the next 15 years";"Adoption: Domestic Adoption, International Adoption (Home Study and Post Adoption Services Only); Foster Care; Crisis Pregnancy";"Domestic Adoption: The process of domestic adoption through Agape would generally be as follows: Review eligibility requirements with an Agape representative and submit Application for Services. Begin gathering paperwork for the home study. This process includes: obtaining medical exams, criminal background clearances, parent-preparation training, and gathering financial and identification verifications. A minimum of 2 home visits with an Agape social worker to complete the home study process. Prepare a “Dear Birth Parent” profile with Agape’s assistance. Wait period of approximately 2-3 years. Post placement visits, legal services for finalization coordinated by Agape. Post placement counseling and support; International Adoption: At this time, Agape is only offering Home Study and Post Adoption services to families who adopt internationally. Agape is Hague-accredited through the Council on Accreditation (COA) to provide services to prospective adoptive parent(s) who are pursuing an international adoption. Megan Malinoski, Agape’s Director of Permanency Planning, has years of experience working in the field of international adoption. She has traveled and visited orphanages in Africa and South America. Megan is able to assist prospective adoptive parents in exploring the many options in international adoption such as: choosing a country of origin and/or locating and identifying a placing agency that has a program in the country in which the prospective adoptive parent(s) desire to adopt. Megan also stays up-to-date on the current international adoption news through our partnerships with organizations such as the Joint Council for International Children’s Services and the Christian Alliance for Orphans. We are able to help prospective adoptive families identify a program that is an appropriate fit for their family, and are here to guide, educate and support families on the journey to provide a forever family to orphans worldwide. The international adoption home study process through Agape would generally be as follows: Review eligibility requirements with an Agape representative and submit Application for Services. Begin gathering paperwork for the home study. This process includes: obtaining medical exams, criminal background clearances, parent-preparation training, and gathering financial and identification verifications. A minimum of two home visits with an Agape social worker to complete the home study process. After the home study report is approved and notarized, Agape is available to assist with filing the appropriate Immigration paperwork After applicant(s) arrive home with the adoptive child(ren), Agape will provide post adoption services including: written reports for the child’s country of origin, counseling and support."
;"AGAPE of Central Alabama, Inc. - Enterprise Office";"Licensed";"P.O. Box 311541";"Enterprise";"AL";36331;(334) 393-1990;"Linda Sanders";;;;"info@agapeforchildren.org";"http://www.agapeforchildren.org/";"In 1977, a group of Christians were stirred to begin something that would enable Christ’s followers to help children. They saw the need in society as well as the desire to help in the hearts of their brothers and sisters. Agape was founded in 1977 in Montgomery, and began operations in 1978 as a “licensed child-placing agency”, licensed by the state of Alabama to provide foster care and adoption services. Agape began serving in the Montgomery area, then later expanded to the Birmingham, Wiregrass and Mobile areas over the next 15 years";"Adoption: Domestic Adoption, International Adoption (Home Study and Post Adoption Services Only); Foster Care; Crisis Pregnancy";"Domestic Adoption: The process of domestic adoption through Agape would generally be as follows: Review eligibility requirements with an Agape representative and submit Application for Services. Begin gathering paperwork for the home study. This process includes: obtaining medical exams, criminal background clearances, parent-preparation training, and gathering financial and identification verifications. A minimum of 2 home visits with an Agape social worker to complete the home study process. Prepare a “Dear Birth Parent” profile with Agape’s assistance. Wait period of approximately 2-3 years. Post placement visits, legal services for finalization coordinated by Agape. Post placement counseling and support; International Adoption: At this time, Agape is only offering Home Study and Post Adoption services to families who adopt internationally. Agape is Hague-accredited through the Council on Accreditation (COA) to provide services to prospective adoptive parent(s) who are pursuing an international adoption. Megan Malinoski, Agape’s Director of Permanency Planning, has years of experience working in the field of international adoption. She has traveled and visited orphanages in Africa and South America. Megan is able to assist prospective adoptive parents in exploring the many options in international adoption such as: choosing a country of origin and/or locating and identifying a placing agency that has a program in the country in which the prospective adoptive parent(s) desire to adopt. Megan also stays up-to-date on the current international adoption news through our partnerships with organizations such as the Joint Council for International Children’s Services and the Christian Alliance for Orphans. We are able to help prospective adoptive families identify a program that is an appropriate fit for their family, and are here to guide, educate and support families on the journey to provide a forever family to orphans worldwide. The international adoption home study process through Agape would generally be as follows: Review eligibility requirements with an Agape representative and submit Application for Services. Begin gathering paperwork for the home study. This process includes: obtaining medical exams, criminal background clearances, parent-preparation training, and gathering financial and identification verifications. A minimum of two home visits with an Agape social worker to complete the home study process. After the home study report is approved and notarized, Agape is available to assist with filing the appropriate Immigration paperwork After applicant(s) arrive home with the adoptive child(ren), Agape will provide post adoption services including: written reports for the child’s country of origin, counseling and support."
;"AGAPE of Central Alabama, Inc. - Birmingham Office";"Licensed";"P.O. Box 36533";"Birmingham";"AL";35236;(205) 733-9755;"Megan Malinoski";;;;"info@agapeforchildren.org";"http://www.agapeforchildren.org/";"In 1977, a group of Christians were stirred to begin something that would enable Christ’s followers to help children. They saw the need in society as well as the desire to help in the hearts of their brothers and sisters. Agape was founded in 1977 in Montgomery, and began operations in 1978 as a “licensed child-placing agency”, licensed by the state of Alabama to provide foster care and adoption services. Agape began serving in the Montgomery area, then later expanded to the Birmingham, Wiregrass and Mobile areas over the next 15 years";"Adoption: Domestic Adoption, International Adoption (Home Study and Post Adoption Services Only); Foster Care; Crisis Pregnancy";"Domestic Adoption: The process of domestic adoption through Agape would generally be as follows: Review eligibility requirements with an Agape representative and submit Application for Services. Begin gathering paperwork for the home study. This process includes: obtaining medical exams, criminal background clearances, parent-preparation training, and gathering financial and identification verifications. A minimum of 2 home visits with an Agape social worker to complete the home study process. Prepare a “Dear Birth Parent” profile with Agape’s assistance. Wait period of approximately 2-3 years. Post placement visits, legal services for finalization coordinated by Agape. Post placement counseling and support; International Adoption: At this time, Agape is only offering Home Study and Post Adoption services to families who adopt internationally. Agape is Hague-accredited through the Council on Accreditation (COA) to provide services to prospective adoptive parent(s) who are pursuing an international adoption. Megan Malinoski, Agape’s Director of Permanency Planning, has years of experience working in the field of international adoption. She has traveled and visited orphanages in Africa and South America. Megan is able to assist prospective adoptive parents in exploring the many options in international adoption such as: choosing a country of origin and/or locating and identifying a placing agency that has a program in the country in which the prospective adoptive parent(s) desire to adopt. Megan also stays up-to-date on the current international adoption news through our partnerships with organizations such as the Joint Council for International Children’s Services and the Christian Alliance for Orphans. We are able to help prospective adoptive families identify a program that is an appropriate fit for their family, and are here to guide, educate and support families on the journey to provide a forever family to orphans worldwide. The international adoption home study process through Agape would generally be as follows: Review eligibility requirements with an Agape representative and submit Application for Services. Begin gathering paperwork for the home study. This process includes: obtaining medical exams, criminal background clearances, parent-preparation training, and gathering financial and identification verifications. A minimum of two home visits with an Agape social worker to complete the home study process. After the home study report is approved and notarized, Agape is available to assist with filing the appropriate Immigration paperwork After applicant(s) arrive home with the adoptive child(ren), Agape will provide post adoption services including: written reports for the child’s country of origin, counseling and support."
;"AGAPE of North Alabama, Inc.";"Licensed";"103 Mountain Brook Blvd.";"Madison";"AL";35758;(256) 859-4481;"Danny Holmes";;;;"info@agapecares.org";"http://agapecares.org/";"AGAPE of North Alabama is a non-profit organization founded in Huntsvillle, Alabama, in 1969 with a singular mission – and ministry: meeting the needs of children and families in North Alabama with active love and compassion. AGAPE is a Greek word meaning “love,” a love that fulfills its purpose by reaching out and helping others. While we may be a state-licensed agency, we are also a family … a family that reaches out to help others in need.";"Adoption: Domestic Adoption, International Adoption, Closed Adoption [Confidential Adoption], Open Adoption [Cooperative Adoption]; Foster Care; Crisis Pregnancy";"The first step in any adoption process is to obtain a home study, which is a report that approves a family to adopt. This process can take several months to complete, depending on the type of adoption. Once the social worker has completed the home study, the report is sent to a placement agency of the adoptive family’s choosing for the placement of a child. The placement agency then matches an adoptive family with a child. The wait time and placement fee will vary depending on the placement agency. Once a child has been placed in an adoptive home, a social worker monitors the placement to ensure that both the family and the child are adjusting and transitioning well during the post-placement period. At the finalization, the child becomes the permanent and legally adopted child of the adoptive parents. The following gives you a general outline of the adoption process. Contact the Social Services secretary at AGAPE of North Alabama at 256-859-4481 for informational packets and forms. Return the completed forms to our offices with your application fee of $200. You will be contacted by our staff to plan your home study when your forms have been reviewed and approved by AGAPE and the State of Alabama. All states require home studies for adoptive families. A home study consists of family interviews in the home and in AGAPE’s offices as well as: verification of marriage; criminal background checks; verification of financial stability; personal references; training on adoption and other issues. Birth parents may choose to meet prospective adoptive parents in open domestic adoptions. Eventually, a court finalizes each adoption. The adoptive family selects their own attorney to help finalize the legal process on their behalf.  In addition to the $200, there are other fees charged by AGAPE. Based upon the individual circumstances/demands of each adoption, information about those fees will be shared with you during the adoption process."
;"Al-Hajj, Inc.";"Licensed";"410 Cotton Gin Road";"Montgomery";"AL";36117;(334) 272-7027;;;;;"dstapleton@seraajfh.com";;;;
;"Catholic Family Services - Birmingham";"Licensed";"1515 12th Ave S";"Birmingham";"AL";35205;(205) 324-6561;;;;;;"http://cfsbhm.org/";"The mission of CFS is to provide the highest quality counseling and child welfare services and other related services to people of all faiths in the North Central Alabama area. CFS places primarily healthy infants in adoptive homes. We work with children and families of all racial backgrounds and have always been able to find permanent homes for children in our care. We place children with both married couples and single approved applicants. At CFS we see adoption as a lifelong commitment to a child. It is not a way to get through a tough patch in your marriage, or a means of coping with infertility. It should be a thoughtful decision and, for couples choosing adoption, it should be a mutual decision. CFS is committed to you to insure a smooth transition for your entry into parenthood. Because of the high quality of professional care we offer the birth mother, we believe we in turn offer you a safer, more secure adoption.";"Adoption; Counseling Services; Project Rachel; Hope and Healing Support Group; Birth Mother Services";"The process of adoption is wonderful and trying, exciting and frustrating. It is begun by contacting the agency nearest you to be put on our Inquiry List. As soon as we can begin a home study, an adoption worker will contact you and schedule the first joint interview. This may be immediately or it may be several months depending on the number of approved families to whom we have already committed. There will then be a series of interviews, joint and individual, as well as in office and in your home. With each new interview you will be given paperwork to complete and return to your worker. Once the study has been completed and approved by our joint staffs, you will be notified and will then be considered for any available and appropriate infant based on your preferences and the infants available. Although the time varies to complete a home study, it normally takes three to four months. It is a major commitment by the applicants and the agency social worker. General Requirements for Adoptive Applicants - Residency: The adoptive family requesting to adopt through CFS must be residents of the Diocese of Birmingham in Alabama;  Marriage: Couples who have been married at least (3) years and singles applicants are accepted for consideration of a home study; Religion: The applicants must be of a Christian faith, either Catholic or Protestant. We will also need a reference from your priest or minister attesting that you are a member of a church and that you will raise the child in a Christian home.  Childlessness: Priority for healthy, white infant placements is given to childless couples who, for medical reasons, have been unable to have children. If the wife becomes pregnant during or after the approval procedure but before placement, the application will be placed on hold and closed once the child is born. In the case of miscarriage, the application will be returned to its former position and continued according to usual procedure, Adoptive applicants who already have a child or children living in their home may only be considered for placement of a hard-to-place infant. In cases where one spouse has a child from a previous marriage, but that child does not live in the home with the prospective adoptive applicants, an application to adopt a healthy white infant can be given. However, if both spouses have children from previous marriages, an application to adopt a healthy white infant can not be taken, even if none of the children live in the home of the prospective adoptive couple; Health:  During the home study process, reports of medical examinations are required on the applicant(s) and on other members of the household, if any, to indicate that they are in good health. If two (2) years elapse between the time of the original examination and placement, a medical update is required. If health problems arise, additional medical reports may be required; Financial Stability: There is no minimum income level for applicants. The family should have sufficient income and savings to meet its needs and provide for the child or children without difficulty. An adequate income as well as good money management is considered important; Duplicate Application: You may be on several waiting lists awaiting a home study. However, an application will not be accepted if the applicant has an active application on file with another agency. Applications are usually not accepted if the applicant has been rejected by another agency, but consideration may be given on an individual basis; Childcare Plan: Adoptive applicants are required to submit a childcare plan during the home study process. In order to facilitate adjustment and bonding, the agency strongly encourages one parent to remain in the home with the child for at least sixty (60) days or longer after placement; Fees: The agency adoption fee is 10% of the adoptive parent(s) annual gross income. The minimum fee is $2,000 and maximum is $10,000. This minimum fee can be waived or adjusted for special circumstances (e.g. special needs child, hard to place child or financial considerations). An hourly fee of $80.00 is assessed for all adoption services leading up to placement. This fee is deducted from the total fee you have agreed to pay. Separate fees are: Alabama Bureau of Investigation and FBI background check of $49 per person; Medical exams; Attorney fees incurred by applicants to finalize the adoption. At the time of placement, the balance of the adoption fee is due."
;"Catholic Family Services - Huntsville";"Licensed";"1010 Church Street";"Huntsville";"AL";35804;(256) 536-0073;;;;;;"http://cfsbhm.org/";"The mission of CFS is to provide the highest quality counseling and child welfare services and other related services to people of all faiths in the North Central Alabama area. CFS places primarily healthy infants in adoptive homes. We work with children and families of all racial backgrounds and have always been able to find permanent homes for children in our care. We place children with both married couples and single approved applicants. At CFS we see adoption as a lifelong commitment to a child. It is not a way to get through a tough patch in your marriage, or a means of coping with infertility. It should be a thoughtful decision and, for couples choosing adoption, it should be a mutual decision. CFS is committed to you to insure a smooth transition for your entry into parenthood. Because of the high quality of professional care we offer the birth mother, we believe we in turn offer you a safer, more secure adoption.";"Adoption; Counseling Services; Project Rachel; Hope and Healing Support Group; Birth Mother Services";"The process of adoption is wonderful and trying, exciting and frustrating. It is begun by contacting the agency nearest you to be put on our Inquiry List. As soon as we can begin a home study, an adoption worker will contact you and schedule the first joint interview. This may be immediately or it may be several months depending on the number of approved families to whom we have already committed. There will then be a series of interviews, joint and individual, as well as in office and in your home. With each new interview you will be given paperwork to complete and return to your worker. Once the study has been completed and approved by our joint staffs, you will be notified and will then be considered for any available and appropriate infant based on your preferences and the infants available. Although the time varies to complete a home study, it normally takes three to four months. It is a major commitment by the applicants and the agency social worker. General Requirements for Adoptive Applicants - Residency: The adoptive family requesting to adopt through CFS must be residents of the Diocese of Birmingham in Alabama;  Marriage: Couples who have been married at least (3) years and singles applicants are accepted for consideration of a home study; Religion: The applicants must be of a Christian faith, either Catholic or Protestant. We will also need a reference from your priest or minister attesting that you are a member of a church and that you will raise the child in a Christian home.  Childlessness: Priority for healthy, white infant placements is given to childless couples who, for medical reasons, have been unable to have children. If the wife becomes pregnant during or after the approval procedure but before placement, the application will be placed on hold and closed once the child is born. In the case of miscarriage, the application will be returned to its former position and continued according to usual procedure, Adoptive applicants who already have a child or children living in their home may only be considered for placement of a hard-to-place infant. In cases where one spouse has a child from a previous marriage, but that child does not live in the home with the prospective adoptive applicants, an application to adopt a healthy white infant can be given. However, if both spouses have children from previous marriages, an application to adopt a healthy white infant can not be taken, even if none of the children live in the home of the prospective adoptive couple; Health:  During the home study process, reports of medical examinations are required on the applicant(s) and on other members of the household, if any, to indicate that they are in good health. If two (2) years elapse between the time of the original examination and placement, a medical update is required. If health problems arise, additional medical reports may be required; Financial Stability: There is no minimum income level for applicants. The family should have sufficient income and savings to meet its needs and provide for the child or children without difficulty. An adequate income as well as good money management is considered important; Duplicate Application: You may be on several waiting lists awaiting a home study. However, an application will not be accepted if the applicant has an active application on file with another agency. Applications are usually not accepted if the applicant has been rejected by another agency, but consideration may be given on an individual basis; Childcare Plan: Adoptive applicants are required to submit a childcare plan during the home study process. In order to facilitate adjustment and bonding, the agency strongly encourages one parent to remain in the home with the child for at least sixty (60) days or longer after placement; Fees: The agency adoption fee is 10% of the adoptive parent(s) annual gross income. The minimum fee is $2,000 and maximum is $10,000. This minimum fee can be waived or adjusted for special circumstances (e.g. special needs child, hard to place child or financial considerations). An hourly fee of $80.00 is assessed for all adoption services leading up to placement. This fee is deducted from the total fee you have agreed to pay. Separate fees are: Alabama Bureau of Investigation and FBI background check of $49 per person; Medical exams; Attorney fees incurred by applicants to finalize the adoption. At the time of placement, the balance of the adoption fee is due."
;"Catholic Social Services of Mobile ";"Licensed";"400 Government Street";"Mobile";"AL";36602;(251) 434-1550;"Martha Coaker";;;;"mcoaker@cssmobile.org";"http://www.catholicsocialservicesmobile.com/";"Catholic Social Services places infants in approved homes of married couples and single individuals. Families are assessed by agency social workers to determine their ability, readiness, and commitment for lifetime parenting. Catholic Social Services strives to make your becoming a parent the most exciting, memorable, life-changing event that God intended it to be.";"Adoption; Infant Foster Care";"The process of adoption is wonderful and exciting. To begin the application process you should contact the office nearest you. An initial interview and overview will be scheduled and an application provided as appropriate. The application’s return to the agency is the beginning of the home study process and can take 3-4 months depending on the number of families in process. There will be a series of interviews, both individual and joint, and both in the office and in your home. The home study is a major commitment on behalf of the applicants and the social worker. After the home study is completed and you are approved, you will then be considered for infants who match your family based on your preferences and openness. Eligibility & Suitability - AGE: All applicants must be at least 25 years of age and not more than 45 years of age at the time of application. Generally, a range of no more 45 years between child and adoptive parent is acceptable. STABILITY: Applicants must show a stable life that supports the lifelong commitment to protect and nurture, to provide a safe, loving, and permanent family for a child not born to them, and to meet the needs of the child. MARITAL STATUS: Applicants must have been in their marital status for a minimum of 3 years at the beginning of the home study process. SOUND FINANCIAL MANAGEMENT: Applicants must be able to support themselves and a child with a stable income. HEALTH - PHYSICAL AND MENTAL: All family members must be in good health and be willing to provide medical care for a child. RELIGION: Applications may be accepted by believing persons of the Christian faith. RESIDENCE: Applicants must reside within the twenty-eight county area of the Archdiocese of Mobile. CITIZENSHIP: United States citizenship of a single applicant or one spouse is required. RACE: Applicants are accepted without consideration of race, color, or national origin. REFERENCES: A minimum of seven references will be contacted by letter and/or phone, and/or personal interview.  BACKGROUND CLEARANCES: Applicants criminal and child abuse/neglect histories will be checked for suitability. ADOPTION EXPENSES: Applicants are required to cover the cost of the criminal background review. Adoption Placement fees are on a sliding scale. A $250 application fee is due upon receipt of the completed application packet. An additional $1,500 is due upon approval and completion of the home study process for a total of $1,750. The placement fee is 10% of the family’s adjusted gross income based on the previous year’s income tax return ($15,000 maximum) and is due in full 45 days from the date of placement. ATTITUDES: Healthy relationships and perspectives of the applicants, and their extended families, are considered important in the approval process. EDUCATION: Applicants should have a minimum of a high school education or equivalent."
